national_position,position_evolution,company_name,billing,category,company_link
78.689,5.023,CUBICAL DENIRA SL,mediana,2512,https://ranking-empresas.eleconomista.es/CUBICAL-DENIRA.html
79.098,7.550,GARURTRANS GASTEIZ SL,mediana,5229,https://ranking-empresas.eleconomista.es/GARURTRANS-GASTEIZ.html
79.247,4.083,ALSATEC SL,mediana,3312,https://ranking-empresas.eleconomista.es/ALSATEC.html
79.303,19.804,METROLOGIC GROUP SPAIN SL,mediana,6202,https://ranking-empresas.eleconomista.es/METROLOGIC-GROUP-SPAIN.html
79.326,15.983,"ECHEBARRIA SUMINISTROS, S.L.",mediana,4674,https://ranking-empresas.eleconomista.es/ECHEBARRIA-SUMINISTROS.html
79.371,4.561,BACHABE SA,mediana,5510,https://ranking-empresas.eleconomista.es/BACHABE.html
79.373,5.308,LOGIC VITORIA SL,mediana,4741,https://ranking-empresas.eleconomista.es/LOGIC-VITORIA.html
79.454,4.882,NUÑO Y PESCADOR SA,mediana,4211,https://ranking-empresas.eleconomista.es/NUNO-PESCADOR.html
79.524,12.100,EDICIONES IZORIA 2004 SL,mediana,5813,https://ranking-empresas.eleconomista.es/EDICIONES-IZORIA-2004.html
79.782,10.824,COMERSITRANS SL,mediana,4618,https://ranking-empresas.eleconomista.es/COMERSITRANS.html
79.794,2.065,BODEGAS OSTATU SL,mediana,1102,https://ranking-empresas.eleconomista.es/BODEGAS-OSTATU.html
79.824,9.680,CARNICERIA CHARCUTERIA ELVIRA SL,mediana,4722,https://ranking-empresas.eleconomista.es/CARNICERIA-CHARCUTERIA-ELVIRA.html
79.967,13.413,FRUTAS URIARTE VILLEGAS 2015 SOCIEDAD LIMITADA.,mediana,4631,https://ranking-empresas.eleconomista.es/FRUTAS-URIARTE-VILLEGAS-2015.html
80.093,105.805,"INVICTA ELECTRIC, S.L.",mediana,4511,https://ranking-empresas.eleconomista.es/INVICTA-ELECTRIC.html
80.115,(ND),"RIOLOBOSTRANS 2020, S.L.",mediana,4941,https://ranking-empresas.eleconomista.es/RIOLOBOSTRANS-2020.html
80.179,49.542,"TUBOS REUNIDOS SERVICES, S.L.",mediana,2420,https://ranking-empresas.eleconomista.es/TUBOS-REUNIDOS-SERVICES.html
80.256,11.858,BIKE DIFUSION S.L.,mediana,4676,https://ranking-empresas.eleconomista.es/BIKE-DIFUSION.html
80.274,11.517,STUDYBOOK SA,mediana,4762,https://ranking-empresas.eleconomista.es/STUDYBOOK.html
80.470,3.064,FORJADOS Y PRENSADOS SA,mediana,2550,https://ranking-empresas.eleconomista.es/FORJADOS-PRENSADOS.html
80.621,28.539,RODMAT EXCLUSIVAS SL,mediana,4634,https://ranking-empresas.eleconomista.es/RODMAT-EXCLUSIVAS.html
80.741,7.709,LA PILASTRA SL,mediana,4730,https://ranking-empresas.eleconomista.es/PILASTRA.html
81.034,3.483,I&J FOOTBALL PARTNERS 2015 SOCIEDAD LIMITADA.,mediana,9319,https://ranking-empresas.eleconomista.es/IJ-FOOTBALL-PARTNERS-2015.html
81.222,13.869,INGENIERIA DE SEGURIDAD DE VITORIA Y ALAVA SL,mediana,8020,https://ranking-empresas.eleconomista.es/INGENIERIA-SEGURIDAD-VITORIA-ALAVA.html
81.313,(ND),"TALLERES ARECHAGA, S.L.",mediana,2562,https://ranking-empresas.eleconomista.es/TALLERES-ARECHAGA.html
81.375,9.074,BI ONDO MOTOR SL,mediana,4511,https://ranking-empresas.eleconomista.es/BI-ONDO-MOTOR.html
81.512,(ND),"IPARCOM TELECOMUNICACIONES, S.L.",mediana,4652,https://ranking-empresas.eleconomista.es/IPARCOM-TELECOMUNICACIONES.html
81.548,348.449,"UNIKARE BIOSCIENCE, S.L.",mediana,2042,https://ranking-empresas.eleconomista.es/UNIKARE-BIOSCIENCE.html
81.626,8.175,BODEGAS HEREDAD DE BAROJA S.L.,mediana,1102,https://ranking-empresas.eleconomista.es/BODEGAS-HEREDAD-BAROJA.html
81.825,3.687,VINEDOS Y BODEGAS DE LA MARQUESA S.L.,mediana,1102,https://ranking-empresas.eleconomista.es/VINEDOS-BODEGAS-MARQUESA.html
81.892,835,FABRICACIONES GASTEIZ SL,mediana,2829,https://ranking-empresas.eleconomista.es/FABRICACIONES-GASTEIZ.html
81.956,9.958,INDAL TRADING IMPORT SL,mediana,2562,https://ranking-empresas.eleconomista.es/INDAL-TRADING-IMPORT.html
82.041,5.962,SCANARABA S.L.,mediana,4520,https://ranking-empresas.eleconomista.es/SCANARABA.html
82.081,2.062,"TALLERES QUINTANA ESTRUCTURAS Y CARPINTERIA METALICA, SL",mediana,2512,https://ranking-empresas.eleconomista.es/TALLERES-QUINTANA-ESTRUCTURAS-CARPINTERIA-METALICA.html
82.103,21.699,BIASTERI TURISMO SA,mediana,5510,https://ranking-empresas.eleconomista.es/BIASTERI-TURISMO.html
82.186,4.214,MECANIZADOS ATC S.L.,mediana,2511,https://ranking-empresas.eleconomista.es/MECANIZADOS-ATC.html
82.351,13.879,"EGUREN UGARTE, SA.",mediana,1102,https://ranking-empresas.eleconomista.es/EGUREN-UGARTE.html
82.355,2.864,INGALVI SA,mediana,2899,https://ranking-empresas.eleconomista.es/INGALVI.html
82.541,9.700,"EUSKLIFT, S.L.",mediana,2815,https://ranking-empresas.eleconomista.es/EUSKLIFT.html
82.613,29.535,SAN PRUDENCIO DE ALIMENTACION SL,mediana,4634,https://ranking-empresas.eleconomista.es/SAN-PRUDENCIO-ALIMENTACION.html
82.767,28.267,NORDJET AIRLINES SL,mediana,5110,https://ranking-empresas.eleconomista.es/NORDJET-AIRLINES.html
82.955,8.601,EPSILON GAMES MEDIA S.L.,mediana,4662,https://ranking-empresas.eleconomista.es/EPSILON-GAMES-MEDIA.html
82.979,16.071,BACOMAT SA,mediana,4754,https://ranking-empresas.eleconomista.es/BACOMAT.html
83.474,19.669,DESTILERIAS MANUEL ACHA FABRICA DE LICORES SA,mediana,1101,https://ranking-empresas.eleconomista.es/DESTILERIAS-MANUEL-ACHA-FABRICA-LICORES.html
83.593,628,LUDOLAND SL,mediana,9329,https://ranking-empresas.eleconomista.es/LUDOLAND.html
84.001,17.894,AMETS SL,mediana,2562,https://ranking-empresas.eleconomista.es/AMETS.html
84.019,11.663,CARNICERIA CHARCUTERIA MARI CARMEN SL,mediana,4722,https://ranking-empresas.eleconomista.es/CARNICERIA-CHARCUTERIA-MARI-CARMEN.html
84.093,15.594,OYON EXPRESS SOCIEDAD LIMITADA.,mediana,4711,https://ranking-empresas.eleconomista.es/OYON-EXPRESS.html
84.101,21.092,CARTAMUNDI ESPAÑA SL,mediana,3240,https://ranking-empresas.eleconomista.es/CARTAMUNDI-ESPANA.html
84.165,7.951,ARABAOBRA SOCIEDAD LIMITADA.,mediana,4339,https://ranking-empresas.eleconomista.es/ARABAOBRA.html
84.389,30.821,GESTION DE MATERIALES Y PROYECTOS SA,mediana,3030,https://ranking-empresas.eleconomista.es/GESTION-MATERIALES-PROYECTOS.html
84.453,33.063,"GRUPO POSTA 2004, SOCIEDAD LIMITADA.",mediana,5320,https://ranking-empresas.eleconomista.es/GRUPO-POSTA-2004.html
84.462,7.198,SOCIEDAD LIMITADA DE HERRAMIENTAS ESPECIALES FORZA.,mediana,4674,https://ranking-empresas.eleconomista.es/HERRAMIENTAS-ESPECIALES-FORZA.html
84.534,14.688,NABLA WIND POWER SOCIEDAD LIMITADA.,mediana,7112,https://ranking-empresas.eleconomista.es/NABLA-WIND-POWER.html
84.693,332,SILICONE TECHNOLOGY SA,mediana,2017,https://ranking-empresas.eleconomista.es/SILICONE-TECHNOLOGY.html
84.805,12.234,EUSKAL CARNICAS AZKENA SL,mediana,4632,https://ranking-empresas.eleconomista.es/EUSKAL-CARNICAS-AZKENA.html
84.850,38.944,GASCON VERMUYTEN SL,mediana,1054,https://ranking-empresas.eleconomista.es/GASCON-VERMUYTEN.html
85.232,13.512,IRAHER TRESNAK SOCIEDAD LIMITADA.,mediana,4662,https://ranking-empresas.eleconomista.es/IRAHER-TRESNAK.html
85.541,1.386,INGENIERIA Y TECNOLOGIA DE MECANIZADOS SL,mediana,2550,https://ranking-empresas.eleconomista.es/INGENIERIA-TECNOLOGIA-MECANIZADOS.html
85.552,13.844,EIGAS AUTOMOCION SOCIEDAD LIMITADA.,mediana,4532,https://ranking-empresas.eleconomista.es/EIGAS-AUTOMOCION.html
85.684,15.396,VIÑA BUJANDA SL,mediana,1102,https://ranking-empresas.eleconomista.es/VINA-BUJANDA.html
85.783,21.872,COMPAÑIA ELABORADORA DE CAUCHO COECA SA,mediana,2017,https://ranking-empresas.eleconomista.es/COMPANIA-ELABORADORA-CAUCHO-COECA.html
85.820,5.307,"TRIMEK, SA",mediana,2651,https://ranking-empresas.eleconomista.es/TRIMEK.html
85.903,255.593,"SERVINDUSTRIA 360, S.L.",mediana,4122,https://ranking-empresas.eleconomista.es/SERVINDUSTRIA-360.html
86.031,860,INDUSTRIAS VITORIA ZIP SA,mediana,1399,https://ranking-empresas.eleconomista.es/INDUSTRIAS-VITORIA-ZIP.html
86.124,27.102,HOTELERA RECAREDO SA,mediana,5510,https://ranking-empresas.eleconomista.es/HOTELERA-RECAREDO.html
86.303,8.646,SERVICIOS TECNICOS NORTEK SOCIEDAD LIMITADA,mediana,3312,https://ranking-empresas.eleconomista.es/SERVICIOS-TECNICOS-NORTEK.html
86.424,1.624,CEFALUX SL,mediana,2790,https://ranking-empresas.eleconomista.es/CEFALUX.html
86.459,5.607,IGARO LOGISTIC SL,mediana,4941,https://ranking-empresas.eleconomista.es/IGARO-LOGISTIC.html
86.666,3.189,"OFITAS DE SANTUTIS, S.L.",mediana,4331,https://ranking-empresas.eleconomista.es/OFITAS-SANTUTIS.html
86.767,10.545,"ALTO ARMENTIA, S.L.",mediana,4511,https://ranking-empresas.eleconomista.es/ALTO-ARMENTIA.html
86.889,2.990,TALLERES GAMUAR SL,mediana,2573,https://ranking-empresas.eleconomista.es/TALLERES-GAMUAR.html
86.899,2.615,SERVICIOS SAMOVI SOCIEDAD LIMITADA.,mediana,9200,https://ranking-empresas.eleconomista.es/SERVICIOS-SAMOVI.html
87.238,5.028,DUAL DISEÑO INDUSTRIAL SL,mediana,2829,https://ranking-empresas.eleconomista.es/DUAL-DISENO-INDUSTRIAL.html
87.457,(ND),"SERVICIOS TURISTICOS DURANGUESES, S.L.",mediana,5510,https://ranking-empresas.eleconomista.es/SERVICIOS-TURISTICOS-DURANGUESES.html
87.460,5.889,DELEUSKA SL.,mediana,4799,https://ranking-empresas.eleconomista.es/DELEUSKA.html
87.518,14.732,MONTAJES ELECTRICOS LLODIO SL,mediana,4321,https://ranking-empresas.eleconomista.es/MONTAJES-ELECTRICOS-LLODIO.html
87.584,8.506,ULLIBARRI DISTRIBUCION Y CONSTRUCCION SOCIEDAD LIMITADA.,mediana,4673,https://ranking-empresas.eleconomista.es/ULLIBARRI-DISTRIBUCION-CONSTRUCCION.html
87.616,27.860,"SERVICIOS TURISTICOS DE SARDINERO, S.L.",mediana,5510,https://ranking-empresas.eleconomista.es/SERVICIOS-TURISTICOS-SARDINERO.html
87.672,26.493,CEBUTOR SL,mediana,4669,https://ranking-empresas.eleconomista.es/CEBUTOR.html
87.837,30.324,ORHELA INVERSION SL,mediana,4730,https://ranking-empresas.eleconomista.es/ORHELA-INVERSION.html
87.906,22.180,BODEGA SAN ROQUE SDAD.COOP.,mediana,1102,https://ranking-empresas.eleconomista.es/BODEGA-SAN-ROQUE.html
88.093,1.001,DECOFEL ALAVA 2 SL,mediana,4121,https://ranking-empresas.eleconomista.es/DECOFEL-ALAVA-2.html
88.140,9.629,NISSEN ELEKTROBAU IBERICA SL,mediana,4669,https://ranking-empresas.eleconomista.es/NISSEN-ELEKTROBAU-IBERICA.html
88.281,14.821,ECUTRANS GLOBAL LOGISTIC SL,mediana,5229,https://ranking-empresas.eleconomista.es/ECUTRANS-GLOBAL-LOGISTIC.html
88.317,2.632,COMERCIAL ANARI SL,mediana,9609,https://ranking-empresas.eleconomista.es/COMERCIAL-ANARI.html
88.461,8.371,MADERAS GAMIZ SA,mediana,0220,https://ranking-empresas.eleconomista.es/MADERAS-GAMIZ.html
88.523,20.848,GANADOS LEGARDA SL,mediana,4623,https://ranking-empresas.eleconomista.es/GANADOS-LEGARDA.html
88.556,(ND),ASISTENCIA GERIATRICA IRUÑA SL,mediana,8731,https://ranking-empresas.eleconomista.es/ASISTENCIA-GERIATRICA-IRUNA.html
88.591,59.953,"IRUBERRI TECHNOLOGIES, SOCIEDAD LIMITADA.",mediana,7410,https://ranking-empresas.eleconomista.es/IRUBERRI-TECHNOLOGIES.html
88.676,850,CARBURANTES AZACETA SL,mediana,4730,https://ranking-empresas.eleconomista.es/CARBURANTES-AZACETA.html
88.827,7.535,MENXALAVA SOCIEDAD LIMITADA.,mediana,4941,https://ranking-empresas.eleconomista.es/MENXALAVA.html
88.888,16.144,DINALAN SL,mediana,6201,https://ranking-empresas.eleconomista.es/DINALAN.html
88.975,12.333,ACABADOS AZERITEK SOCIEDAD LIMITADA.,mediana,2561,https://ranking-empresas.eleconomista.es/ACABADOS-AZERITEK.html
89.005,10.477,MADERAS MURGA SOCIEDAD LIMITADA.,mediana,1610,https://ranking-empresas.eleconomista.es/MADERAS-MURGA.html
89.096,21.532,YAIMAR 2012 SOCIEDAD LIMITADA.,mediana,4729,https://ranking-empresas.eleconomista.es/YAIMAR-2012.html
89.106,14.626,FRUTAS VICENTE ESPINOSA S.L.,mediana,4631,https://ranking-empresas.eleconomista.es/FRUTAS-VICENTE-ESPINOSA.html
89.117,(ND),"ASEVI ASESORES VITORIA, S.L.",mediana,6920,https://ranking-empresas.eleconomista.es/ASEVI-ASESORES-VITORIA.html
89.234,13.166,EXPOIBA SL,mediana,2821,https://ranking-empresas.eleconomista.es/EXPOIBA.html
89.458,2.297,PROTECCION Y EMBALAJES PROYEM SL,mediana,4618,https://ranking-empresas.eleconomista.es/PROTECCION-EMBALAJES-PROYEM.html
89.521,24.706,INBIAUTO OCASION SOCIEDAD LIMITADA.,mediana,4511,https://ranking-empresas.eleconomista.es/INBIAUTO-OCASION.html
89.635,14.379,BODEGA LOS CORZOS SL,mediana,1102,https://ranking-empresas.eleconomista.es/BODEGA-CORZOS.html
89.843,17.148,ZORELOR COMERCIAL S.L.,mediana,4675,https://ranking-empresas.eleconomista.es/ZORELOR-COMERCIAL.html
89.887,81.117,MARKETING & MAQUINAS INTERNACIONAL S L,mediana,4669,https://ranking-empresas.eleconomista.es/MARKETING-MAQUINAS-INTERNACIONAL.html
90.013,38.269,ELECTROTECNICA DE URBINA SA,mediana,4321,https://ranking-empresas.eleconomista.es/ELECTROTECNICA-URBINA.html
90.025,58.160,BODEGAS LA RODETTA SOCIEDAD LIMITADA.,mediana,1102,https://ranking-empresas.eleconomista.es/BODEGAS-RODETTA.html
90.355,15.688,MENDIKO OKELA S.L.,mediana,0141,https://ranking-empresas.eleconomista.es/MENDIKO-OKELA.html
90.397,2.658,"HTL CAD-CAM LAB, SOCIEDAD LIMITADA.",mediana,7211,https://ranking-empresas.eleconomista.es/HTL-CAD-CAM-LAB.html
90.453,19.546,LUMINOSOS REGUI SA,mediana,2221,https://ranking-empresas.eleconomista.es/LUMINOSOS-REGUI.html
90.468,6.782,IKASLEARGAIZ SL,mediana,4617,https://ranking-empresas.eleconomista.es/IKASLEARGAIZ.html
90.734,9.728,MADERAS LEGUTIANO S.L.,mediana,1610,https://ranking-empresas.eleconomista.es/MADERAS-LEGUTIANO.html
90.939,13.826,GASTEIZ DE VIGILANCIA SL,mediana,8010,https://ranking-empresas.eleconomista.es/GASTEIZ-VIGILANCIA.html
91.223,8.789,KARPA TOOLS SL,mediana,4674,https://ranking-empresas.eleconomista.es/KARPA-TOOLS.html
91.530,41.776,TONELERIA GUILLERMO SL,mediana,1624,https://ranking-empresas.eleconomista.es/TONELERIA-GUILLERMO.html
91.549,12.185,URRUTIA GOICOECHEA SA,mediana,1091,https://ranking-empresas.eleconomista.es/URRUTIA-GOICOECHEA.html
91.591,8.274,"HBO SERVICIOS LOGISTICOS FRIGORIFICOS, SOCIEDAD LIMITADA.",mediana,4941,https://ranking-empresas.eleconomista.es/HBO-SERVICIOS-LOGISTICOS-FRIGORIFICOS.html
91.641,7.349,"ALUAR ALUMINIO Y PVC, S.L.",mediana,4332,https://ranking-empresas.eleconomista.es/ALUAR-ALUMINIO-PVC.html
91.745,11.835,"FAMILY FIVE RIOJA, S.L.",mediana,4532,https://ranking-empresas.eleconomista.es/FAMILY-FIVE-RIOJA.html
92.078,15.982,ETINORT SA,mediana,1812,https://ranking-empresas.eleconomista.es/ETINORT.html
92.098,5.278,"RULISA VITORIA, S.L.",mediana,2899,https://ranking-empresas.eleconomista.es/RULISA-VITORIA.html
92.111,8.791,TAILORMADE OPERADOR DE TRANSPORTES SL,mediana,4941,https://ranking-empresas.eleconomista.es/TAILORMADE-OPERADOR-TRANSPORTES.html
92.459,9.280,FARBE PINTURAS INDUSTRIALES SLU,mediana,2030,https://ranking-empresas.eleconomista.es/FARBE-PINTURAS-INDUSTRIALES-SLU.html
92.572,6.617,MEBERANT SL,mediana,2812,https://ranking-empresas.eleconomista.es/MEBERANT.html
92.692,4.586,IMPERMEABILIZACIONES ISFATEC SL,mediana,4399,https://ranking-empresas.eleconomista.es/IMPERMEABILIZACIONES-ISFATEC.html
92.706,4.356,"SUPERVISION AND CARGO SERVICES VITORIA, S.A.",mediana,5223,https://ranking-empresas.eleconomista.es/SUPERVISION-AND-CARGO-SERVICES-VITORIA.html
92.948,(ND),GILTEC ARQUITECTOS TECNICOS SL,mediana,4121,https://ranking-empresas.eleconomista.es/GILTEC-ARQUITECTOS-TECNICOS.html
93.149,8.530,FL VALLADOLID LADRON DE GUEVARA SL,mediana,0111,https://ranking-empresas.eleconomista.es/FL-VALLADOLID-LADRON-GUEVARA.html
93.173,5.812,GALDERTRANS SL,mediana,4941,https://ranking-empresas.eleconomista.es/GALDERTRANS.html
93.474,7.457,GARAGE YAS SA,mediana,4511,https://ranking-empresas.eleconomista.es/GARAGE-YAS.html
93.630,13.175,TRANSPORTES CABRILLO COTERO SL,mediana,4941,https://ranking-empresas.eleconomista.es/TRANSPORTES-CABRILLO-COTERO.html
93.718,4.537,VIDRIOS TEMPLADOS DEL NORTE SA,mediana,2319,https://ranking-empresas.eleconomista.es/VIDRIOS-TEMPLADOS-NORTE.html
93.748,23.326,ALIFUNSA SL,mediana,2454,https://ranking-empresas.eleconomista.es/ALIFUNSA.html
93.772,9.619,EXTERNALIZACION INTEGRAL DE PROCESOS DE NEGOCIO EXTERNALIA SL,mediana,6209,https://ranking-empresas.eleconomista.es/EXTERNALIZACION-INTEGRAL-PROCESOS-NEGOCIO-EXTERNALIA.html
93.856,3.839,"SUNCLOR D.P., SOCIEDAD LIMITADA.",mediana,4675,https://ranking-empresas.eleconomista.es/SUNCLOR-DP.html
93.879,67.888,CORTETUBO GASTEIZ SL,mediana,2550,https://ranking-empresas.eleconomista.es/CORTETUBO-GASTEIZ.html
94.013,32.986,EURO FLEET CARS S.L.,mediana,4511,https://ranking-empresas.eleconomista.es/EURO-FLEET-CARS.html
94.340,(ND),PPA & KRAH SOCIEDAD ANONIMA.,mediana,2221,https://ranking-empresas.eleconomista.es/PPA-KRAH.html
94.437,8.845,ESTEVEZ CONDUCTOS SUBTERRANEOS SL,mediana,4399,https://ranking-empresas.eleconomista.es/ESTEVEZ-CONDUCTOS-SUBTERRANEOS.html
94.701,5.057,ACEROS SERRADA SL,mediana,4672,https://ranking-empresas.eleconomista.es/ACEROS-SERRADA.html
94.759,799,"JUAN ALONSO E HIJOS, SOCIEDAD ANONIMA",mediana,4624,https://ranking-empresas.eleconomista.es/JUAN-ALONSO-HIJOS.html
94.831,874,"MECANIZADOS DAMFER, SA",mediana,2562,https://ranking-empresas.eleconomista.es/MECANIZADOS-DAMFER.html
95.020,40.558,CONSTRUCCIONES MAJUELO GARAY SL,mediana,4121,https://ranking-empresas.eleconomista.es/CONSTRUCCIONES-MAJUELO-GARAY.html
95.087,30.921,"SERVICIOS TURISTICOS DE VALLADOLID, S.L.",mediana,5510,https://ranking-empresas.eleconomista.es/SERVICIOS-TURISTICOS-VALLADOLID.html
95.197,24.628,HOTELERA FORCINO SL,mediana,5510,https://ranking-empresas.eleconomista.es/HOTELERA-FORCINO.html
95.328,27.741,ESTACION DE SERVICIO ZURBANO SL,mediana,4730,https://ranking-empresas.eleconomista.es/ESTACION-SERVICIO-ZURBANO.html
95.787,4.031,LUZNOR DESARROLLOS ELECTRONICOS SL,mediana,2740,https://ranking-empresas.eleconomista.es/LUZNOR-DESARROLLOS-ELECTRONICOS.html
95.847,31.224,SIPRADO SL,mediana,5610,https://ranking-empresas.eleconomista.es/SIPRADO.html
95.911,21.890,SISTEMAS INFORMATICOS MODULARES DE ALAVA SL,mediana,4741,https://ranking-empresas.eleconomista.es/SISTEMAS-INFORMATICOS-MODULARES-ALAVA.html
96.053,7.970,RENORT RECICLAJES INDUSTRIALES SL,mediana,4677,https://ranking-empresas.eleconomista.es/RENORT-RECICLAJES-INDUSTRIALES.html
96.199,12.327,"SERVICIOS LOGISTICOS JUNDIZ, SOCIEDAD LIMITADA.",mediana,5210,https://ranking-empresas.eleconomista.es/SERVICIOS-LOGISTICOS-JUNDIZ.html
96.289,2.619,RIOJACAM SOCIEDAD LIMITADA,mediana,2562,https://ranking-empresas.eleconomista.es/RIOJACAM.html
96.455,20.990,FARMABAY PLAZA SL,mediana,6820,https://ranking-empresas.eleconomista.es/FARMABAY-PLAZA.html
96.518,210,"LAR SERVICIOS AUXILIARES A LA CONSTRUCCION, SOCIEDAD LIMITADA.",mediana,4121,https://ranking-empresas.eleconomista.es/LAR-SERVICIOS-AUXILIARES-CONSTRUCCION.html
96.749,1.898,BRAIZU SL,mediana,4673,https://ranking-empresas.eleconomista.es/BRAIZU.html
96.862,7.178,HIERROS Y ACEROS DEL GORBEA SL,mediana,2593,https://ranking-empresas.eleconomista.es/HIERROS-ACEROS-GORBEA.html
96.956,30.790,AZUKOMESI SL,mediana,5510,https://ranking-empresas.eleconomista.es/AZUKOMESI.html
97.281,7.296,PINTURAS INDUSTRIALES MANA SOCIEDAD LIMITADA.,mediana,4334,https://ranking-empresas.eleconomista.es/PINTURAS-INDUSTRIALES-MANA.html
97.547,20.471,FAHER HERRAMIENTA INDUSTRIAL SL,mediana,2573,https://ranking-empresas.eleconomista.es/FAHER-HERRAMIENTA-INDUSTRIAL.html
97.612,5.310,HOTELERA COSLADA SA,mediana,5510,https://ranking-empresas.eleconomista.es/HOTELERA-COSLADA.html
97.622,17.596,"CREVITOR COMERCIO Y SERVICIOS, SA",mediana,9603,https://ranking-empresas.eleconomista.es/CREVITOR-COMERCIO-SERVICIOS.html
98.009,10.730,FOJANSA MANTENIMIENTO SOCIEDAD LIMITADA,mediana,4322,https://ranking-empresas.eleconomista.es/FOJANSA-MANTENIMIENTO.html
98.417,27.216,ALAVESA DE PATATAS SA,mediana,4631,https://ranking-empresas.eleconomista.es/ALAVESA-PATATAS.html
98.694,8.632,TONELERIA MARTINEZ-VELILLA SL,mediana,1623,https://ranking-empresas.eleconomista.es/TONELERIA-MARTINEZ-VELILLA.html
98.968,16.295,TALLERES SIDECO SA,mediana,3299,https://ranking-empresas.eleconomista.es/TALLERES-SIDECO.html
98.998,60.810,"ARABAKASA MODULAR, S.L.",mediana,4121,https://ranking-empresas.eleconomista.es/ARABAKASA-MODULAR.html
99.008,10.783,JOSE MARIA GALLASTEGUI Y COMPAÑIA SA,mediana,3299,https://ranking-empresas.eleconomista.es/JOSE-MARIA-GALLASTEGUI-COMPANIA.html
99.131,11.538,GASTECOM SL,mediana,4742,https://ranking-empresas.eleconomista.es/GASTECOM.html
99.203,7.975,"MIPRE, SOCIEDAD ANONIMA",mediana,2410,https://ranking-empresas.eleconomista.es/MIPRE.html
99.210,28.218,SERVICIOS AGROTURISTICOS RISCAL SL,mediana,7021,https://ranking-empresas.eleconomista.es/SERVICIOS-AGROTURISTICOS-RISCAL.html
99.219,15.742,DIMO NUEVAS TECNOLOGIAS SL,mediana,2561,https://ranking-empresas.eleconomista.es/DIMO-NUEVAS-TECNOLOGIAS.html
99.277,7.464,DUMAVELL COSMETIC SL,mediana,4775,https://ranking-empresas.eleconomista.es/DUMAVELL-COSMETIC.html
99.316,4.405,GALATEA FOOD SERVICE SL,mediana,4638,https://ranking-empresas.eleconomista.es/GALATEA-FOOD-SERVICE.html
99.326,13.405,BULLETVAN EXPRESS SL,mediana,4941,https://ranking-empresas.eleconomista.es/BULLETVAN-EXPRESS.html
99.383,32.202,PREST-INSTALACIONES Y MONTAJES SL,mediana,4321,https://ranking-empresas.eleconomista.es/PREST-INSTALACIONES-MONTAJES.html
99.412,63.822,"BAIKA MERCADOS, SOCIEDAD LIMITADA.",mediana,6810,https://ranking-empresas.eleconomista.es/BAIKA-MERCADOS.html
99.449,8.181,HERRAMIENTAS DE CONSTRUCCION URBINA SOCIEDAD LIMITADA.,mediana,2511,https://ranking-empresas.eleconomista.es/HERRAMIENTAS-CONSTRUCCION-URBINA.html
99.551,15.844,CENTRO DE INVESTIGACION Y DESARROLLO LAINTEC AIE,mediana,7219,https://ranking-empresas.eleconomista.es/CENTRO-INVESTIGACION-DESARROLLO-LAINTEC.html
99.725,15.071,VENCLISER SA,mediana,4322,https://ranking-empresas.eleconomista.es/VENCLISER.html
99.746,16.837,ALMACENES ELECTRICOS VITORIA SL,mediana,4652,https://ranking-empresas.eleconomista.es/ALMACENES-ELECTRICOS-VITORIA.html
100.228,15.343,SOFAROS SL,mediana,4759,https://ranking-empresas.eleconomista.es/SOFAROS.html
100.334,(ND),"NAVACEL DULANTZI OFFSHORE, S.L.",mediana,2562,https://ranking-empresas.eleconomista.es/NAVACEL-DULANTZI-OFFSHORE.html
100.562,7.602,PALETTRANSPORT SOCIEDAD LIMITADA.,mediana,4941,https://ranking-empresas.eleconomista.es/PALETTRANSPORT.html
100.684,7.007,LIDER ESTUDIO DE COCINA Y BAÑO SL,mediana,4759,https://ranking-empresas.eleconomista.es/LIDER-ESTUDIO-COCINA-BANO.html
100.704,(ND),IMPLENET S.L.,mediana,2849,https://ranking-empresas.eleconomista.es/IMPLENET.html
102.077,20.184,RINGSPANN IBERICA SA,mediana,2932,https://ranking-empresas.eleconomista.es/RINGSPANN-IBERICA.html
102.164,20.640,"AIALAR CONSTRUCTOR COMPANY, S.L.",mediana,4299,https://ranking-empresas.eleconomista.es/AIALAR-CONSTRUCTOR-COMPANY.html
102.394,12.450,SERVICIOS INTEGRALES SERVICEX NORTE SOCIEDAD LIMITADA.,mediana,8121,https://ranking-empresas.eleconomista.es/SERVICIOS-INTEGRALES-SERVICEX-NORTE.html
102.792,(ND),SONIC DELIVERY S.L.,mediana,5320,https://ranking-empresas.eleconomista.es/SONIC-DELIVERY.html
102.834,8.184,PAVIMENTOS GOMES SL,mediana,4333,https://ranking-empresas.eleconomista.es/PAVIMENTOS-GOMES.html
102.883,3.665,BODEGAS VETUS S.L.,mediana,1102,https://ranking-empresas.eleconomista.es/BODEGAS-VETUS.html
102.931,13.234,TIPEBERRI ENVOLVENTES PREFABRICADAS DE HORMIGON SLL,mediana,2361,https://ranking-empresas.eleconomista.es/TIPEBERRI-ENVOLVENTES-PREFABRICADAS-HORMIGON.html
102.933,2.389,ART VITORIA CENTRO GINECOLOGICO DE REPRODUCCION SOCIEDAD LIMITADA.,mediana,8622,https://ranking-empresas.eleconomista.es/ART-VITORIA-CENTRO-GINECOLOGICO-REPRODUCCION.html
102.938,3.140,"CARRETILLAS GORAPEN, S.L.",mediana,7732,https://ranking-empresas.eleconomista.es/CARRETILLAS-GORAPEN.html
