national_position,position_evolution,company_name,billing,category,company_link
12.156,(ND),EUROCAM VEHICULOS INDUSTRIALES VITORIA SA,grande,4520,https://ranking-empresas.eleconomista.es/EUROCAM-VEHICULOS-INDUSTRIALES-VITORIA.html
12.197,2.633,VITORIADIS SL,grande,4711,https://ranking-empresas.eleconomista.es/VITORIADIS.html
12.686,1.632,"JORGE FERNANDEZ CERAMICAS, SA",grande,4673,https://ranking-empresas.eleconomista.es/JORGE-FERNANDEZ-CERAMICAS.html
12.719,1.193,ALMACENES AMUTIO SOCIEDAD LIMITADA,grande,4631,https://ranking-empresas.eleconomista.es/ALMACENES-AMUTIO.html
12.777,2.886,CORPORACION OVO 12 S. COOP.,grande,4729,https://ranking-empresas.eleconomista.es/CORPORACION-OVO-12.html
12.898,1.140,NOVA RECYD SA,grande,2562,https://ranking-empresas.eleconomista.es/NOVA-RECYD.html
12.948,1.814,"AEG POWER SOLUTIONS IBERICA, S.A.",grande,2790,https://ranking-empresas.eleconomista.es/AEG-POWER-SOLUTIONS-IBERICA.html
13.014,2.032,PENINSULA 2000 SA,grande,4649,https://ranking-empresas.eleconomista.es/PENINSULA-2000.html
13.021,5.874,"VINOS DE LOS HEREDEROS DEL MARQUES DE RISCAL, SA",grande,6420,https://ranking-empresas.eleconomista.es/VINOS-HEREDEROS-MARQUES-RISCAL.html
13.203,537,CARTONAJES IGAMO SA,grande,1721,https://ranking-empresas.eleconomista.es/CARTONAJES-IGAMO.html
13.210,362,PRODUCTOS PARA GENTE DEPORTIVA PROGED SL,grande,4642,https://ranking-empresas.eleconomista.es/PRODUCTOS-PARA-GENTE-DEPORTIVA-PROGED.html
13.311,6.568,AUXILIAR LAMINADORA ALAVESA SA,grande,2410,https://ranking-empresas.eleconomista.es/AUXILIAR-LAMINADORA-ALAVESA.html
13.413,1.750,INTERMAHER S.A.U.,grande,4662,https://ranking-empresas.eleconomista.es/INTERMAHER-SAU.html
13.794,1.602,BODEGAS MURIEL SL,grande,1102,https://ranking-empresas.eleconomista.es/BODEGAS-MURIEL.html
13.873,123,BODEGAS LUIS CAÑAS SA,grande,1102,https://ranking-empresas.eleconomista.es/BODEGAS-LUIS-CANAS.html
14.063,2.552,"BELABIA MOTOR, SOCIEDAD LIMITADA.",grande,4511,https://ranking-empresas.eleconomista.es/BELABIA-MOTOR.html
14.198,1.774,AUTOCENTRO ARMENTIA SA,grande,4511,https://ranking-empresas.eleconomista.es/AUTOCENTRO-ARMENTIA.html
14.385,1.097,INDESA 2010 SOCIEDAD LIMITADA,grande,8121,https://ranking-empresas.eleconomista.es/INDESA-2010.html
14.491,5.819,CARS & CARAVANS GASTEIZ SL,grande,4519,https://ranking-empresas.eleconomista.es/CARS-CARAVANS-GASTEIZ.html
14.531,616,AYERBE INDUSTRIAL DE MOTORES SA,grande,2711,https://ranking-empresas.eleconomista.es/AYERBE-INDUSTRIAL-MOTORES.html
14.633,880,"GASOCENTRO VITORIA, SA",grande,4730,https://ranking-empresas.eleconomista.es/GASOCENTRO-VITORIA.html
14.705,195,COMERCIAL ARTEVINO Y VINEDOS S.L.,grande,1102,https://ranking-empresas.eleconomista.es/COMERCIAL-ARTEVINO-VINEDOS.html
14.825,1.419,"TALLERES BI-BAT, SL.",grande,4520,https://ranking-empresas.eleconomista.es/TALLERES-BI-BAT.html
14.839,1.290,CENTRO DE CALCULO DE ALAVA SA,grande,6203,https://ranking-empresas.eleconomista.es/CENTRO-CALCULO-ALAVA.html
15.092,258,PROYECTOS INSTALACIONES Y MONTAJES ELECTRICOS SA,grande,2732,https://ranking-empresas.eleconomista.es/PROYECTOS-INSTALACIONES-MONTAJES-ELECTRICOS.html
15.096,1.395,INDUSTRIAS TECNICAS DE LA ESPUMA SL,grande,2219,https://ranking-empresas.eleconomista.es/INDUSTRIAS-TECNICAS-ESPUMA.html
15.239,364,"DOM-MCM, S.A.",14.845.668,2572,https://ranking-empresas.eleconomista.es/DOM-MCM.html
15.245,2.298,ARAEX RIOJA ALAVESA SL,grande,4634,https://ranking-empresas.eleconomista.es/ARAEX-RIOJA-ALAVESA.html
15.334,1.524,AUTOLASA SA,grande,4511,https://ranking-empresas.eleconomista.es/AUTOLASA.html
15.356,8.368,"AGURAIN METALES, SOCIEDAD LIMITADA.",grande,2410,https://ranking-empresas.eleconomista.es/AGURAIN-METALES.html
15.425,6.250,"MADERAS DE LLODIO, SAU",grande,1621,https://ranking-empresas.eleconomista.es/MADERAS-LLODIO-SAU.html
15.484,1.951,CASTINOX SA,grande,2452,https://ranking-empresas.eleconomista.es/CASTINOX.html
15.485,2.689,INDUSTRIAS DEL CAFE DEL NORTE SA,grande,1083,https://ranking-empresas.eleconomista.es/INDUSTRIAS-CAFE-NORTE.html
15.495,2.491,URIARTE ITURRATE SLU,grande,4639,https://ranking-empresas.eleconomista.es/URIARTE-ITURRATE-SLU.html
15.633,195,DAISALUX SAU,grande,2790,https://ranking-empresas.eleconomista.es/DAISALUX-SAU.html
15.657,1.416,"TUBOS REUNIDOS, SA",grande,2420,https://ranking-empresas.eleconomista.es/TUBOS-REUNIDOS.html
15.702,1.136,LANTEK SHEET METAL SOLUTIONS SLU,grande,6209,https://ranking-empresas.eleconomista.es/LANTEK-SHEET-METAL-SOLUTIONS-SLU.html
15.730,539,LAVIOSA PROMASA SA,grande,2399,https://ranking-empresas.eleconomista.es/LAVIOSA-PROMASA.html
15.852,1.038,"CEGASA ENERGIA, SOCIEDAD LIMITADA.",14.222.254,2720,https://ranking-empresas.eleconomista.es/CEGASA-ENERGIA.html
15.895,853,MOTOR GORBEA SA,grande,4511,https://ranking-empresas.eleconomista.es/MOTOR-GORBEA.html
16.246,2.661,FORESTAL IBERICA MA SILVA S.L.,grande,4673,https://ranking-empresas.eleconomista.es/FORESTAL-IBERICA-MA-SILVA.html
16.427,6.468,"AERNNOVA AIRCRAFT SERVICES, S.A.",grande,3030,https://ranking-empresas.eleconomista.es/AERNNOVA-AIRCRAFT-SERVICES.html
16.546,3.358,ELECTROMECANICAS ABIEGA SA,grande,2712,https://ranking-empresas.eleconomista.es/ELECTROMECANICAS-ABIEGA.html
16.680,634,AJL OPHTHALMIC SA,grande,3250,https://ranking-empresas.eleconomista.es/AJL-OPHTHALMIC.html
16.779,934,NAIPES HERACLIO FOURNIER SA,13.347.561,3240,https://ranking-empresas.eleconomista.es/NAIPES-HERACLIO-FOURNIER.html
16.781,1.520,GRADO CERO SISTEMAS S.L.U.,grande,2892,https://ranking-empresas.eleconomista.es/GRADO-CERO-SISTEMAS-SLU.html
16.786,7.180,"PILOUS PACKAGING SPAIN, SOCIEDAD DE RESPONSABILIDAD LIMITADA.",grande,1624,https://ranking-empresas.eleconomista.es/PILOUS-PACKAGING-SPAIN.html
16.936,820,SYSKOR SISTEMAS DE PERFILES SL,grande,4674,https://ranking-empresas.eleconomista.es/SYSKOR-SISTEMAS-PERFILES.html
17.253,2.495,NAIVAN TRANSFORMADOS METALICOS SLU,grande,2410,https://ranking-empresas.eleconomista.es/NAIVAN-TRANSFORMADOS-METALICOS-SLU.html
17.657,707,INSTALACION FOJANSA S.L.,grande,4322,https://ranking-empresas.eleconomista.es/INSTALACION-FOJANSA.html
17.659,7.659,"NOR STEEL LAMINACION, SA.",grande,4672,https://ranking-empresas.eleconomista.es/NOR-STEEL-LAMINACION.html
17.796,580,SUANAYES SOCIEDAD LIMITADA,grande,4673,https://ranking-empresas.eleconomista.es/SUANAYES.html
17.800,117.920,SATRONICS IBERIA SL.,12.432.096,2630,https://ranking-empresas.eleconomista.es/SATRONICS-IBERIA.html
